索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
1,新锦动力,300157,3.19,19.92%,0.53,50.82万,1.59亿,12.78%
2,深科达,688328,17.71,16.97%,2.57,9.29万,1.61亿,7.13%
3,弘景光电,301479,139.09,16.74%,19.94,3.69万,5.04亿,11.98%
4,肯特股份,301591,39.18,13.40%,4.63,7.46万,2.91亿,20.87%
5,殷图网联,835508,35.8,13.36%,4.22,2.87万,1.00亿,15.52%
6,创源股份,300703,16.2,13.29%,1.9,23.68万,3.58亿,19.86%
7,盛天网络,300494,11.96,12.09%,1.29,35.21万,4.05亿,12.93%
8,新莱福,301323,39.7,11.83%,4.2,4.05万,1.64亿,11.41%
9,新瀚新材,301076,34.14,11.82%,3.61,18.40万,6.05亿,17.43%
10,先进数通,300541,13.33,11.74%,1.4,58.69万,7.75亿,12.57%
11,联测科技,688113,31.19,10.21%,2.89,1.34万,4132.54万,4.49%
12,新能泰山,000720,3.15,10.14%,0.29,24.85万,7557.20万,8.39%
13,茂业商业,600828,4.79,10.11%,0.44,45.29万,2.16亿,5.06%
14,天娱数科,002354,6.56,10.07%,0.6,254.92万,15.78亿,10.40%
15,大位科技,600589,7,10.06%,0.64,168.24万,11.66亿,6.45%
16,普路通,002769,7.44,10.06%,0.68,14.19万,1.05亿,5.18%
17,绿康生化,002868,16.78,10.03%,1.53,4.36万,7313.78万,0.00%
18,狮头股份,600539,11.52,10.03%,1.05,5.86万,6613.65万,8.31%
19,三夫户外,002780,11.63,10.03%,1.06,12.24万,1.41亿,4.07%
20,恒润股份,603985,16.9,10.03%,1.54,17.60万,2.88亿,9.38%
21,大千生态,603955,22.83,10.02%,2.08,10.96万,2.42亿,8.34%
22,德生科技,002908,9.66,10.02%,0.88,42.16万,3.99亿,10.59%
23,金麒麟,603586,14.94,10.01%,1.36,1.72万,2565.35万,0.00%
24,掌阅科技,603533,20.77,10.01%,1.89,28.07万,5.71亿,11.23%
25,威尔药业,603351,30.69,10.00%,2.79,3.19万,9471.90万,8.57%
26,东贝集团,601956,7.48,10.00%,0.68,5.47万,4093.45万,0.00%
27,华电能源,600726,2.75,10.00%,0.25,288.39万,7.81亿,6.00%
28,四川金顶,600678,7.59,10.00%,0.69,39.56万,2.96亿,7.83%
29,天沃科技,002564,5.83,10.00%,0.53,94.64万,5.33亿,11.89%
30,中电鑫龙,002298,5.39,10.00%,0.49,32.85万,1.75亿,3.88%
31,中毅达,600610,9.92,9.98%,0.9,107.08万,10.26亿,12.75%
32,三峡水利,600116,7.61,9.97%,0.69,73.67万,5.56亿,2.75%
